鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
羅東鎮,土地,仁愛一段481~510地號,2737.35,,特定農業區,農牧用地,1071003,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18110000,6616,,0.0,0,,RPVNMLMLJINFFAG28CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮純精路三段151~180號,25.59,住,,,1071016,土地2建物1車位0,一層，地下一層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0851109,177.05,0,0,0,無,有,14800000,83592,,0.0,0,,RPWNMLMLJINFFAG38CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮敬業路1~30號,18.27,住,,,1071102,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830324,105.48,3,1,2,有,有,2200000,20857,,0.0,0,二親等買賣關係母子,RPPOMLMLJINFFAG77CA
三星鄉,土地,健富段511~540地號,508.0,,特定農業區,甲種建築用地,1071026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8750000,17224,,0.0,0,"買賣總價款含地上未保存建物,此建物為老房子,折舊年數約52年",RPTNMLNLJINFFAG18CA
冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉安農三路18巷1~30號,53.98,,特定農業區,甲種建築用地,1071023,土地1建物1車位1,一層，二層，三層，四層,四層,其他,住家用,鋼筋混凝土造,0830927,199.66,3,2,2,有,無,4600000,,坡道平面,0.0,0,"3、4樓重疊,陽台外推",RPSNMLRLJINFFAG48CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉富堵六路31~60號,685.0,,特定農業區,農牧用地,1071023,土地1建物1車位0,一層,一層,其他,見其他登記事項,見其他登記事項,1070831,112.0,0,0,0,無,無,4000000,,,0.0,0,建物型態:農業設施(花卉溫室),RPXOMLOJKINFFAG68CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉大埤二路151~180號,1003.79,農,,,1071017,土地2建物1車位0,一層，二層，三層,三層,農舍,農舍,見其他登記事項,0990423,281.68,7,2,8,有,無,23000000,,,0.0,0,,RPPNMLSJKINFFAG18CA
蘇澳鎮,土地,慶安段571~600地號,2506.03,住,,,1071101,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18200000,7262,,0.0,0,,RPPNMLLKKINFFAG57CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市慈安路49巷2弄61~90號,22.72,住,,,1071103,土地1建物1車位0,六層，夾層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840918,124.72,3,2,2,有,有,3360000,26940,,0.0,0,,RPOQMLMLJINFFBG97CA
頭城鎮,土地,拔雅林三段901~930地號,16.03,住,,,1071030,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,771364,48120,,0.0,0,向政府機關承購之案件。;,RPQQMLMLJINFFBG18CA
員山鄉,土地,永結段361~390地號,1307.53,,一般農業區,丁種建築用地,1070918,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000000,15296,,0.0,0,,RPQNMLNLJINFFBG97CA
頭城鎮,土地,武營段91~120地號,22.61,住,,,1071018,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,35383,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLNLJINFFBG18CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉復興街1~30號,13.05,住,,,1071025,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740618,49.04,2,1,1,有,無,2000000,40783,,0.0,0,,RPQOMLQLJINFFBG38CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路151~180號,16.42,住,,,1071026,土地1建物1車位0,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871102,101.47999999999999,2,1,1,有,無,5100000,50256,,0.0,0,,RPPNMLRLJINFFBG28CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市宜興路三段1~30號,28.07,住,,,1071012,土地1建物1車位0,四層,六層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1030701,87.25999999999999,1,1,1,有,無,4050000,46413,,0.0,0,買受人共2人，有機車位*2(編號4-3)。,RPSQMLOJKINFFBG48CA
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮復興路170巷1~30號,63.95,住,,,1061201,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070831,106.04,2,2,3,有,無,10400000,98076,,0.0,0,,RPTPMLNKKINFFBG48CA
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮復興路170巷1~30號,59.5,住,,,1070823,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070831,104.21,2,2,3,有,無,10400000,99798,,0.0,0,,RPUPMLNKKINFFBG58CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市嵐峰路三段108巷31~60號,123.0,住,,,1071029,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700903,113.36,3,1,2,有,無,4500000,39697,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLRKKINFFBG28CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市民權新路271~300號,20.66,住,,,1071102,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880121,102.69999999999999,3,2,2,有,有,6000000,58423,,0.0,0,,RPWNMLRKKINFFBG98CA
五結鄉,土地,利工段151~180地號,4330.33,,工業區,丁種建築用地,1071106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,45035432,10400,,0.0,0,向政府機關承購之案件。;,RPSNMLMLJINFFAG18EA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市校舍二路27巷1~30號,24.72,住,,,1071026,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871119,161.53,4,2,2,有,有,4700000,29097,坡道平面,0.0,0,所有權人共二人、機車位一個、二等親買賣,RPWPMLLLJINFFBG78EA
宜蘭市,土地,巽門一段841~870地號,55.01,商,,,1070827,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,127250,,0.0,0,親友、員工或其他特殊關係間之交易。;含未保存登記建物一棟持分:1/2,RPPNMLQLJINFFBG38EA
壯圍鄉,土地,新南段421~450地號,666.0,,特定農業區,農牧用地,1071028,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,3754,,0.0,0,,RPSOMLKMJINFFBG18DA
壯圍鄉,土地,新社段361~390地號,1756.0,,,,1071026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,1708,,0.0,0,,RPRNMLKKKINFFBG77CA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市國榮路151~180號,36.49,住,,,1071113,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930927,180.18,3,2,2,有,無,7200000,39960,坡道平面,0.0,0,,RPWOMLNJKINFFBG58CA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市樹人路61~90號,35.54,住,,,1071024,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060603,200.25,3,2,2,有,有,11350000,69591,坡道平面,52.96,1100000,,RPURMLNJKINFFBG68CA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市樹人路61~90號,35.54,住,,,1070930,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060603,200.25,3,2,2,有,有,11000000,67214,坡道平面,52.96,1100000,,RPWRMLNJKINFFBG88CA
員山鄉,房地(土地+建物),宜蘭縣員山鄉同新路404巷2弄1~30號,73.08,,一般農業區,甲種建築用地,1071107,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0730820,84.4,4,2,3,有,無,3800000,45024,,0.0,0,含增建或未登記建物。;,RPQNMLRLJINFFBG38CA
宜蘭市,土地,延平段511~540地號,80.61,農,,,1071114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2559900,31757,,0.0,0,,RPROMLQLJINFFBG48CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市縣政五街121~150號,129.85,住,,,1071019,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1031229,270.2,4,2,5,有,無,13800000,51073,,0.0,0,,RPVOMLQLJINFFBG88CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市縣政五街91~120號,129.84,住,,,1070925,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1031229,250.15,4,2,5,有,無,13500000,53968,,0.0,0,,RPTNMLRLJINFFBG68CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉健康一街61~90號,12.27,其他,,,1070918,土地1建物1車位0,七層,十二層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1070402,73.41,0,0,0,無,無,8860000,120692,,0.0,0,建商與地主合建案。;土地及建物分次登記案件。本案為預售屋買賣。,RPSNMLSLJINFFBG68CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市民權新路260巷1~30號,22.13,住,,,1071019,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840310,123.00999999999999,3,2,2,有,有,2000000,16259,,0.0,0,買方承諾，無條件、無償提供賣方繼續居住使用本房屋，至賣方壽終正寢為止。,RPPQMLMLJINFFBG08CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉香南路331~360號,165.24,住,,,1071024,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),見其他登記事項,見其他登記事項,0920127,323.19,4,1,2,有,無,13000000,40224,,0.0,0,親友、員工或其他特殊關係間之交易。;二親等買賣,RPTNMLRLJINFFAG58CA
蘇澳鎮,土地,龍德段271~300地號,149.0,,工業區,丁種建築用地,1070822,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2130000,14295,,0.0,0,,RPXNMLRLJINFFAG98CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮義和巷1~30號,19.3,商,,,1071101,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810910,71.32000000000001,2,2,1,有,無,3120000,43746,,0.0,0,,RPVNMLQLJINFFAG68CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮龍祥二路5巷1~30號,74.0,,工業區,丁種建築用地,1071102,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701006,86.77,4,2,2,有,無,2700000,31117,,0.0,0,含增建或未登記建物。;,RPSOMLQLJINFFAG48CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮萬福路35巷1~30號,43.34,,鄉村區,乙種建築用地,1071107,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680813,75.61,4,2,5,有,無,3650000,48274,,0.0,0,,RPSNMLQLJINFFAG38CA
大同鄉,土地,崙埤段61~90地號,8700.0,,山坡地保育區,林業用地,1071108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,172,,0.0,0,親友間買賣,RPSOMLMLJINFFAG08CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮思村路61~90號,83.13,住,,,1070917,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070830,156.69,4,2,3,有,無,6800000,43398,,0.0,0,,RPQNMLNLJINFFAG87CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮月眉路161巷3弄1~30號,30.31,,特定農業區,甲種建築用地,1071025,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050509,48.38,4,2,3,有,無,2350000,48574,,0.0,0,親友、員工或其他特殊關係間之交易。;二親等買賣,RPRNMLRLJINFFAG38CA
五結鄉,土地,利工段1~30地號,2000.18,,工業區,丁種建築用地,1070910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25000000,12499,,0.0,0,,RPVOMLSLJINFFAG98CA
冬山鄉,土地,東興段271~300地號,233.0,,工業區,丁種建築用地,1071113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3171712,13612,,0.0,0,買方為原為租地建屋之承租人,RPUOMLSLJINFFAG88CA
三星鄉,房地(土地+建物),宜蘭縣三星鄉楓林一路175巷1~30號,174.06,,特定農業區,甲種建築用地,1071105,土地3建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1070719,201.48,3,2,3,有,無,7700000,38217,,0.0,0,"含農地價格385,000元",RPOOMLSLJINFFAG28CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路726巷31~60號,38.49,,鄉村區,乙種建築用地,1070919,土地2建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,見其他登記事項,1070914,57.9,2,1,1,有,無,3600000,62176,,0.0,0,,RPSNMLNJKINFFAG97CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路726巷31~60號,38.49,,鄉村區,乙種建築用地,1070919,土地2建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,見其他登記事項,1070914,57.9,2,1,1,有,無,2990000,51641,,0.0,0,,RPUNMLNJKINFFAG18CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路726巷31~60號,38.49,,鄉村區,乙種建築用地,1070919,土地2建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,見其他登記事項,1070914,51.12,2,1,1,有,無,3800000,74335,,0.0,0,,RPVNMLNJKINFFAG28CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路726巷1~30號,98.25,,鄉村區,乙種建築用地,1070930,土地3建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1070914,127.56,3,1,4,有,無,7520000,58953,,0.0,0,,RPOOMLNJKINFFAG67CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮南盟路1~30號,101.0,住,,,1071021,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0621115,130.58,4,2,2,有,無,7380000,56517,,0.0,0,一樓廚房增建。,RPTNMLQLJINFFAG48CA
五結鄉,土地,中里段691~720地號,333.44,,特定農業區,農牧用地,1070424,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5547000,16636,,0.0,0,,RPUNMLQLJINFFAG58CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山西街121~150號,150.0,住,,,1070827,土地4建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1040713,290.17,4,2,4,有,無,15000000,51694,,0.0,0,,RPTOMLQLJINFFAG58CA
蘇澳鎮,土地,中原段301~330地號,102.83,住,,,1071112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3110600,30250,,0.0,0,,RPPOMLQLJINFFAG18CA
冬山鄉,土地,香和段1231~1260地號,396.82,住,,,1071103,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9673214,24377,,0.0,0,,RPROMLQLJINFFAG38CA
冬山鄉,土地,永吉段421~450地號,1044.97,,特定農業區,甲種建築用地,1071007,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18000000,17225,,0.0,0,,RPQOMLMKKINFFAG87CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉富堵六路1~30號,750.0,,特定農業區,農牧用地,1030925,土地1建物1車位0,一層,一層,其他,見其他登記事項,見其他登記事項,1070605,95.53,0,0,0,無,無,2268000,,,0.0,0,總價不包含建物。,RPOOMLOJKINFFAG77CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉礁溪路四段175巷1~30號,9.94,住,,,1071024,土地2建物1車位0,六層,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830705,56.54,1,1,1,有,有,1480000,26176,,0.0,0,含增建或未登記建物。;,RPTPMLNLJINFFBG48CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市康樂路91~120號,13.37,商,,,1071101,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0800807,70.25999999999999,2,1,1,有,有,3050000,43410,,0.0,0,,RPUPMLNLJINFFBG58CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉協和中路1~30號,106.51,,特定農業區,甲種建築用地,1071109,土地4建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1031209,201.89,5,2,4,有,無,9500000,47055,,0.0,0,,RPUNMLKKKINFFAG97CA
冬山鄉,土地,東城段451~480地號,2161.44,工,,,1071025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16999726,7865,,0.0,0,,RPRNMLSKKINFFAG48CA
冬山鄉,土地,東城段451~480地號,230.91,工,,,1071025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2025650,8772,,0.0,0,,RPSNMLSKKINFFAG58CA
礁溪鄉,房地(土地+建物)+車位,宜蘭縣礁溪鄉和平路31~60號,13.05,住,,,1071103,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830718,112.50999999999999,2,1,1,有,無,4080000,36263,坡道平面,0.0,0,,RPXNMLRKKINFFBG09CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市農權路二段21巷1~30號,164.0,住,,,1070726,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0771214,199.94,4,2,2,有,無,7960000,39812,,0.0,0,親友、員工或其他特殊關係間之交易。;1.二親等間買賣2.登記權利人為二人,RPQNMLQJKINFFBG18CA
員山鄉,土地,同結段151~180地號,115.34,,鄉村區,乙種建築用地,1070825,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2372000,20565,,0.0,0,,RPXOMLLKKINFFBG58CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉群英路151~180號,101.29,住,,,1071112,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1071005,314.49,4,2,5,有,無,24529164,77997,,0.0,0,,RPPNMLSKKINFFAG28CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市東港路2巷4弄31~60號,93.0,農,,,1071101,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680322,93.48,0,0,2,無,無,3500000,37441,,0.0,0,,RPUNMLRLJINFFBG78CA
員山鄉,土地,雙連埤段241~270地號,458.86,,山坡地保育區,交通用地,1070918,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1388000,3025,,0.0,0,,RPSNMLRLJINFFBG58CA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市陽明二路30巷31~60號,84.76,住,,,1071025,土地2建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0940107,252.60000000000002,4,2,3,有,有,11300000,44735,坡道平面,0.0,0,,RPRNMLTLJINFFBG68CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市民權新路260巷1弄1~30號,37.66,住,,,1071020,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930927,152.47,3,2,2,有,有,6320000,41451,,0.0,0,,RPPOMLSLJINFFBG48CA
冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉光華一路318巷1~30號,42.9,,特定農業區,甲種建築用地,1071101,土地1建物1車位1,三層，四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830506,141.59,4,2,2,有,無,2450000,17303,坡道平面,0.0,0,,RPSNMLKMJINFFAG87CA
三星鄉,土地,集慶段61~90地號,190.68,住,,,1071115,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7100000,37235,,0.0,0,地主及建設公司的交易移轉,RPWNMLOJKINFFAG48CA
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮天祥路31~60號,23.01,住,,,1071019,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850902,136.23000000000002,2,3,2,有,有,5700000,41841,坡道機械,0.0,0,,RPWOMLOJKINFFAG58CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉群英路151~180號,148.49,住,,,1071112,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1071005,302.01,4,2,5,有,無,27500000,91057,,0.0,0,,RPQPMLOJKINFFAG08CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉群英路151~180號,113.98,住,,,1071115,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1071005,263.71,4,2,5,有,無,23500000,89113,,0.0,0,,RPRPMLOJKINFFAG18CA
蘇澳鎮,土地,蘇聖段811~840地號,5.42,住,,,1070927,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,131168,24201,,0.0,0,,RPWNMLOKKINFFAG58CA
蘇澳鎮,土地,蘇聖段811~840地號,5.42,住,,,1070927,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,131168,24201,,0.0,0,,RPXNMLOKKINFFAG68CA
蘇澳鎮,土地,蘇聖段811~840地號,5.4,住,,,1070927,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,130680,24200,,0.0,0,,RPOOMLOKKINFFAG87CA
蘇澳鎮,土地,蘇聖段811~840地號,5.32,住,,,1070927,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,128744,24200,,0.0,0,,RPROMLOKKINFFAG18CA
蘇澳鎮,土地,蘇聖段811~840地號,5.42,住,,,1070927,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,131168,24201,,0.0,0,,RPVOMLOKKINFFAG58CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮公正路368巷1~30號,91.0,住,,,1071025,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1031223,198.99,4,2,5,有,無,12680000,63722,,0.0,0,含增建或未登記建物。;,RPVNMLRLJINFFAG78CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮蘇東中路1~30號,10.86,商,,,1071101,土地2建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720719,120.17999999999999,0,0,2,有,有,1400000,11649,,0.0,0,,RPQOMLRLJINFFAG58EA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市旋流路1~30號,2248.0,,特定農業區,農牧用地,1071102,土地1建物1車位0,一層，二層,二層,農舍,農舍,鋼筋混凝土造,1010515,230.8,0,0,2,無,無,35000000,,,0.0,0,,RPPNMLNJKINFFBG97EA
五結鄉,土地,三興段91~120地號,310.12,農,,,1071008,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7600000,24507,,0.0,0,本件含未辦保存房屋一棟。,RPSOMLQLKINFFAG58CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市陽明六路253巷61~90號,77.09,住,,,1070916,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830503,172.12,5,2,3,有,無,5000000,29050,,0.0,0,一、親屬間買賣、二、土地增值稅、契稅由買方負擔,RPTQMLNJKINFFBG68EA
三星鄉,土地,紅柴林段紅柴林小段451~480地號,2976.0,,一般農業區,農牧用地,1070522,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5580000,1875,,0.0,0,,RPWNMLTLJINFFAG66EA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永清路145巷1~30號,100.3,住,,,1071030,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0950522,204.23,4,3,3,有,無,9880000,48377,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPROMLRLJINFFAG48CA
羅東鎮,土地,仁愛一段421~450地號,1718.77,,特定農業區,農牧用地,1071021,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8578800,4991,,0.0,0,,RPPNMLSLJINFFAG28CA
